IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.37.98,8080,8080,false,NRT,Asia Pacific,Tokyo,85,4.56
8.219.141.174,2095,2095,false,SIN,Asia Pacific,Singapore,24,4.56
47.74.10.135,2053,2053,true,NRT,Asia Pacific,Tokyo,218,4.55
8.222.197.251,8443,8443,true,SIN,Asia Pacific,Singapore,63,4.55
47.245.37.89,2086,2086,false,NRT,Asia Pacific,Tokyo,74,4.54
47.91.3.135,8880,8880,false,NRT,Asia Pacific,Tokyo,94,4.54
8.219.134.63,8080,8080,false,SIN,Asia Pacific,Singapore,13,4.54
8.219.126.240,2087,2087,true,SIN,Asia Pacific,Singapore,114,4.53
8.222.145.164,8443,8443,true,SIN,Asia Pacific,Singapore,191,4.53
8.210.65.1,443,443,true,HKG,Asia Pacific,Hong Kong,40,4.53
8.222.208.38,2082,2082,false,SIN,Asia Pacific,Singapore,18,4.53
47.245.114.163,2086,2086,false,SIN,Asia Pacific,Singapore,20,4.53
47.236.79.77,8443,8443,true,SIN,Asia Pacific,Singapore,62,4.52
47.236.87.246,2087,2087,true,SIN,Asia Pacific,Singapore,124,4.52
47.236.83.239,2096,2096,true,SIN,Asia Pacific,Singapore,71,4.52
47.236.104.98,2053,2053,true,SIN,Asia Pacific,Singapore,103,4.52
47.74.11.251,2082,2082,false,NRT,Asia Pacific,Tokyo,115,4.52
47.76.80.72,8080,8080,false,HKG,Asia Pacific,Hong Kong,51,4.52
47.236.83.196,2095,2095,false,SIN,Asia Pacific,Singapore,32,4.51
8.218.8.142,8443,8443,true,HKG,Asia Pacific,Hong Kong,82,4.51
8.217.149.28,8880,8880,false,HKG,Asia Pacific,Hong Kong,42,4.51
47.236.116.182,2082,2082,false,SIN,Asia Pacific,Singapore,12,4.51
47.245.113.12,8880,8880,false,SIN,Asia Pacific,Singapore,10,4.51
8.219.152.195,8880,8880,false,SIN,Asia Pacific,Singapore,24,4.51
8.218.11.90,2083,2083,true,HKG,Asia Pacific,Hong Kong,129,4.50
8.219.154.107,8080,8080,false,SIN,Asia Pacific,Singapore,6,4.50
47.243.107.148,8080,8080,false,HKG,Asia Pacific,Hong Kong,57,4.50
8.222.255.15,8443,8443,true,SIN,Asia Pacific,Singapore,68,4.50
8.219.215.214,2086,2086,false,SIN,Asia Pacific,Singapore,23,4.50
8.222.214.231,2087,2087,true,SIN,Asia Pacific,Singapore,29,4.50
8.219.185.191,2095,2095,false,SIN,Asia Pacific,Singapore,10,4.50
47.74.26.196,80,80,false,HKG,Asia Pacific,Hong Kong,161,4.50
47.245.108.213,2086,2086,false,SIN,Asia Pacific,Singapore,8,4.50
47.245.52.165,2053,2053,true,NRT,Asia Pacific,Tokyo,121,4.49
8.222.131.102,2087,2087,true,SIN,Asia Pacific,Singapore,359,4.49
47.91.15.247,8080,8080,false,NRT,Asia Pacific,Tokyo,85,4.49
47.74.54.33,8443,8443,true,NRT,Asia Pacific,Tokyo,108,4.49
47.245.107.174,2082,2082,false,SIN,Asia Pacific,Singapore,21,4.49
47.236.7.246,8880,8880,false,SIN,Asia Pacific,Singapore,29,4.49
8.209.243.99,8880,8880,false,NRT,Asia Pacific,Tokyo,72,4.49
8.210.245.224,443,443,true,HKG,Asia Pacific,Hong Kong,126,4.49
